scope,controller,condition,contrast,metric,n_scene_blocks,n_available,n_missing_or_censored,mean,sample_sd,median,minimum,maximum,bootstrap_mean_ci95_lower,bootstrap_mean_ci95_upper,inference_label
paired_effect,,,ideam__true_minus_empty__planner_completed_requests,ideam__true_minus_empty__planner_completed_requests,5,5,0,2.0,0.7071067811865476,2.0,1.0,3.0,1.4,2.6,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_dropped_request_fraction,ideam__true_minus_empty__planner_dropped_request_fraction,5,5,0,-0.03508474576271188,0.010952294710432856,-0.03389830508474578,-0.05084745762711862,-0.02005649717514124,-0.044067796610169484,-0.026158192090395493,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_dropped_requests,ideam__true_minus_empty__planner_dropped_requests,5,5,0,-2.4,0.5477225575051661,-2.0,-3.0,-2.0,-2.8,-2.0,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_maximum_total_s,ideam__true_minus_empty__planner_maximum_total_s,5,5,0,-0.14249330000000004,0.29233705688238537,-0.015241800000000083,-0.6653671000000001,-0.004339700000000057,-0.40472384000000006,-0.008700540000000067,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_mean_total_s,ideam__true_minus_empty__planner_mean_total_s,5,5,0,-0.08604873272294378,0.029158207133012346,-0.08042401333333338,-0.1288399033333334,-0.058136788333333356,-0.10987253372294378,-0.06433878830303037,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_p95_total_s,ideam__true_minus_empty__planner_p95_total_s,5,5,0,-0.11675013299999985,0.18280153356690215,-0.045925744999999796,-0.4212399049999993,0.03262290000000001,-0.27533211299999966,0.002406345000000143,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_simulated_time_effective_rate_hz,ideam__true_minus_empty__planner_simulated_time_effective_rate_hz,5,5,0,0.3333333333333333,0.11785113019775789,0.33333333333333326,0.16666666666666674,0.5,0.23333333333333334,0.4333333333333333,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__planner_wall_clock_effective_rate_hz,ideam__true_minus_empty__planner_wall_clock_effective_rate_hz,5,5,0,0.3333209817121028,0.11799527983298982,0.33313508239559164,0.16646975527441676,0.5002100027074718,0.2332398668012568,0.4333800345827198,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__real_time_factor,ideam__true_minus_empty__real_time_factor,5,5,0,2.774019076701162e-05,0.00018350001559591683,-8.322931208004647e-05,-0.00012463473368684586,0.00024216157909418,-0.00011010684494783263,0.00016617763155806208,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__traffic_hard_braking_actor_count,ideam__true_minus_empty__traffic_hard_braking_actor_count,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__traffic_maximum_follower_disturbance_amplification,ideam__true_minus_empty__traffic_maximum_follower_disturbance_amplification,5,5,0,-0.16051193563784044,0.21980511361228935,0.0,-0.40373708871777203,9.612759675370341e-06,-0.32200869367688434,7.253409925311871e-06,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__traffic_maximum_speed_loss_mps,ideam__true_minus_empty__traffic_maximum_speed_loss_mps,5,5,0,7.629544477083528e-07,1.7060180088116854e-06,0.0,0.0,3.814772238541764e-06,0.0,2.2888633431250584e-06,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__traffic_peak_deceleration_mps2,ideam__true_minus_empty__traffic_peak_deceleration_mps2,5,5,0,-7.629389168073431e-06,1.705983280661276e-05,0.0,-3.814694584036715e-05,0.0,-2.288816750422029e-05,0.0,scene_block_bootstrap_ci
paired_effect,,,ideam__true_minus_empty__traffic_total_integrated_speed_deficit_vehicle_m,ideam__true_minus_empty__traffic_total_integrated_speed_deficit_vehicle_m,5,5,0,0.1147240977906975,0.035704697820277284,0.1008465405583081,0.08320230395742101,0.16174918120834292,0.08735140640972645,0.14261400137088884,scene_block_bootstrap_ci
paired_effect,,,interaction__collision_incidence,interaction__collision_incidence,5,5,0,-0.4,0.5477225575051661,0.0,-1.0,0.0,-0.8,0.0,scene_block_bootstrap_ci
paired_effect,,,interaction__ego_maximum_speed_loss_mps,interaction__ego_maximum_speed_loss_mps,5,5,0,-7.275207390108781,4.070282839696515,-9.845603516785527,-10.671167532897542,-2.813630374168042,-10.318896285424362,-4.2315184947932005,scene_block_bootstrap_ci
paired_effect,,,interaction__ego_mean_speed_mps,interaction__ego_mean_speed_mps,5,5,0,1.820122056513356,0.6563343617896286,2.096577067666402,1.1162287419657666,2.5418221008221735,1.318289736557476,2.321954376469236,scene_block_bootstrap_ci
paired_effect,,,interaction__ego_minimum_speed_mps,interaction__ego_minimum_speed_mps,5,5,0,7.275207390108781,4.070282839696515,9.845603516785527,2.813630374168042,10.671167532897542,4.2315184947932005,10.318896285424362,scene_block_bootstrap_ci
paired_effect,,,interaction__ego_peak_deceleration_mps2,interaction__ego_peak_deceleration_mps2,5,5,0,6.33440221299665,1.162842716226476,6.4811626148692625,4.929250880945162,7.5064796524912225,5.415438596312967,7.253365829680334,scene_block_bootstrap_ci
paired_effect,,,interaction__low_level_deadline_miss_fraction,interaction__low_level_deadline_miss_fraction,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,interaction__low_level_maximum_time_s,interaction__low_level_maximum_time_s,5,5,0,0.00024276000000078568,0.0004547333042588426,0.00021210000000237983,-0.0002959000000011258,0.0007234000000035934,-0.00011630000000124596,0.0006018200000028173,scene_block_bootstrap_ci
paired_effect,,,interaction__low_level_mean_time_s,interaction__low_level_mean_time_s,5,5,0,-4.352166666706709e-05,9.54068638413237e-05,1.010166666629204e-05,-0.00014864333333379758,5.1099999998912215e-05,-0.00011522033333369783,2.817699999956365e-05,scene_block_bootstrap_ci
paired_effect,,,interaction__low_level_p95_time_s,interaction__low_level_p95_time_s,5,5,0,-0.0002571930000012124,0.000467190682532757,-0.0001269450000042304,-0.0009678000000019613,0.00015260999999737717,-0.0006426200000017167,8.304699999923662e-05,scene_block_bootstrap_ci
paired_effect,,,interaction__low_level_stale_plan_fallback_time_s,interaction__low_level_stale_plan_fallback_time_s,5,5,0,0.5799999999999994,0.5019960159204445,0.40000000000000036,0.0,1.2,0.20000000000000018,0.9799999999999993,scene_block_bootstrap_ci
paired_effect,,,interaction__low_level_wall_clock_effective_control_rate_hz,interaction__low_level_wall_clock_effective_control_rate_hz,5,5,0,-1.1038353285997004e-05,0.0020994635535950238,0.0004258674510442262,-0.0035510376560239365,0.002076432449200638,-0.0019319133957445445,0.0014162064499380733,scene_block_bootstrap_ci
paired_effect,,,interaction__maximum_follower_hard_brake_time_s,interaction__maximum_follower_hard_brake_time_s,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
