frame,time_s,condition,controller,hidden_visible,hidden_lidar_hits,lidar_frame,lidar_time_s,lidar_is_new,semantic_lidar_reveal_armed,ego_station_m,ego_local_y_m,hidden_station_m,hidden_local_y_m,hidden_reference_y_m,hidden_lateral_error_m,hidden_commanded_ay_mps2,hidden_road_lateral_velocity_mps,hidden_observation_submitted,hidden_aware_plan,ego_speed_mps,ego_accel_mps2,ego_throttle,ego_brake,ego_steer,commanded_ackermann_steer_rad,target_speed_mps,steer_limit_rad,steering_envelope_active,shield_active,minimum_clearance_m,minimum_ttc_s,minimum_oriented_clearance_m,minimum_oriented_clearance_actor_role,minimum_ttc_2d_s,minimum_ttc_2d_actor_role,hidden_oriented_clearance_m,hidden_ttc_2d_s,plan_age_s,plan_source_frame,plan_status,plan_rejection_reason,new_plan,latest_plan_status,planner_total_s,planner_decision_s,planner_mpc_s,planner_field_s,low_level_updated,low_level_time_s,physics_control_cycle_time_s,physics_control_deadline_miss,occluder_station_m,ego_pass_clearance_ahead_occluder_m,hidden_pass_clearance_ahead_occluder_m,ego_target_lane_error_m,ego_centre_lane_overlap,hidden_centre_lane_overlap,concurrent_centre_lane_overlap,hidden_center_geometric_visible_now,hidden_center_los_blocked,hidden_footprint_fully_blocked,hidden_footprint_blocked_sample_count,hidden_footprint_sample_count,hidden_footprint_blocked_sample_fraction,hidden_center_in_range,hidden_center_in_horizontal_fov,hidden_center_geometric_range_m,hidden_center_geometric_bearing_rad,hidden_center_geometric_clear_streak,hidden_center_geometric_reveal_confirmed,occluder_speed_mps,occluder_accel_mps2,lead_left_speed_mps,lead_left_accel_mps2,lead_centre_speed_mps,lead_centre_accel_mps2,lead_right_speed_mps,lead_right_accel_mps2,rear_centre_speed_mps,rear_centre_accel_mps2,follower_1_speed_mps,follower_1_accel_mps2,follower_2_speed_mps,follower_2_accel_mps2,follower_3_speed_mps,follower_3_accel_mps2,follower_4_speed_mps,follower_4_accel_mps2
3766,0.05,empty_shadow,DREAM,0,0,3765,,0,0,180.88976518998263,-201.7489555523681,,,,,,,0,0,32.56000591830123,0.0,0.56830233335495,0.0,-0.0017709070816636086,-0.002163571072742343,32.49878928629792,0.0067206206143526305,0,0,7.361400800164801,13.095015412595755,7.361376486453886,occluder,,,,,0.05,3765,ok,accepted,1,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,1,0.0011805000000002508,0.012114099999998018,0,194.84225595333106,-20.6327023073853,,3.501044447631898,0,0,0,,,,,,,,,,,,0,18.449162660530316,0.16277330861658604,22.385457279148753,0.32489760743814533,21.550738681341944,0.8540723436257368,24.364482411419274,1.74743672304224,16.93737703634912,-0.13359074721519457,31.237887838121594,1.261501317501774,32.314443709734476,2.1241762811186287,30.654869094029657,0.18516532579781078,31.884513947970195,2.0540239353437513
3767,0.1,empty_shadow,DREAM,0,0,3766,0.05,1,0,182.51888503069833,-201.7485828992805,,,,,,,0,0,32.60190203164614,0.8379222668982322,0.5618324875831604,0.0,-0.0017709070816636086,-0.002163571072742343,32.49878928629792,0.006703359135335508,0,0,6.664465613429273,13.020614169360302,6.664302765556745,occluder,,,,,0.1,3765,ok,accepted,0,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,0,0.0011805000000002508,0.009972400000002324,0,195.76492446078151,-19.92625097412005,,3.501417100719493,0,0,0,,,,,,,,,,,,0,18.45681304622994,0.15300771012006634,22.40831875212713,0.4572294610629784,21.5759232991448,0.5036923591892775,24.431027907498482,1.3309099220360676,16.933716832352204,-0.0732040799448648,31.285887988350012,0.9602519991195888,32.39673818294106,1.6458894652408271,30.66790199981121,0.2606581158247923,31.9638310466258,1.586341973266682
3768,0.15000000000000002,empty_shadow,DREAM,0,0,3767,0.1,1,0,184.1495306461237,-201.74790454989054,,,,,,,0,0,32.62247505129695,0.4114603930162275,0.5578063726425171,0.0,-0.001568916835822165,-0.001916793524287641,32.19878909655762,0.006694907248613093,0,0,5.96871536260858,12.976378889223612,5.968393346556811,occluder,,,,,0.15000000000000002,3765,ok,accepted,0,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,1,0.0011752999999998792,0.011644299999996832,0,196.6879896915191,-19.218670589432264,,3.502095450109465,0,0,0,,,,,,,,,,,,0,18.463963708014912,0.14301323213136555,22.433402287071473,0.5016707002240689,21.58671887582738,0.21591153848302055,24.478780297929035,0.9550478093671447,16.932597215577935,-0.022392335483550088,31.322633069208646,0.7350832655557448,32.45747579795318,1.2147523005209788,30.68146132984151,0.2711866018278784,32.022173028500895,1.1668396372525822
3769,0.2,empty_shadow,DREAM,0,0,3768,0.15000000000000002,1,0,185.77968787621973,-201.74692119130953,,,,,,,0,0,32.600683886699535,-0.43582329194833846,0.5586835145950317,0.0,-0.001568916835822165,-0.001916793524287641,32.19878909655762,0.006703860080100712,0,0,5.276983265598349,12.984120091839447,5.276532390520666,occluder,,,,,0.2,3765,ok,accepted,0,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,0,0.0011752999999998792,0.01200719999999933,0,197.61139061559655,-18.511914283413688,,3.503078808690475,0,0,0,,,,,,,,,,,,0,18.470601295267713,0.13275174170934495,22.456788281361717,0.46771988715682994,21.585542022793085,-0.023537054206853814,24.50996164349446,0.6236269123859083,16.93361955174177,0.020446723290370988,31.350712044762723,0.5617021327231004,32.49941839593219,0.8388519594270935,30.691900233193355,0.20877807003576937,32.06220827475235,0.8007049247921791
3770,0.25,empty_shadow,DREAM,0,0,3769,0.2,1,0,187.40865478029264,-201.74552625146814,,,,,,,0,0,32.57878799188086,-0.4379178963735342,0.5833871960639954,0.0,-0.0010647437302395701,-0.0013008298119530082,31.89878825086047,0.006712874039373008,0,0,4.591411840492699,12.98653502249401,4.590926527447038,occluder,,,,,0.25,3765,ok,accepted,0,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,1,0.0016038999999992143,0.012135900000000532,0,198.53512723301384,-17.806683996758068,,3.504473748531865,0,0,0,,,,,,,,,,,,0,18.47670673350395,0.12210876196467155,22.475699636923643,0.37822711234305756,21.574134150600006,-0.2281574361281232,24.52694277931832,0.3396227180405437,16.93648438694839,0.05729670416417695,31.371701312664175,0.4198597027634176,32.52501119790808,0.5118560393286754,30.696111638825585,0.08422811815914548,32.086191270745985,0.4796599200766514
3771,0.3,empty_shadow,DREAM,0,0,3770,0.25,1,1,189.04027654693547,-201.74364212466747,,,,,,,0,0,32.670970528291726,1.8436507282173409,0.5934031009674072,0.0,-0.0010647437302395701,-0.0013008298119530082,31.89878825086047,0.006675047287405367,0,0,3.9106734548573456,12.835859931500934,3.910318097585278,occluder,,,,,0.3,3765,ok,accepted,0,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,0,0.0016038999999992143,0.010162399999998684,0,199.4591079910419,-17.09904298814328,,3.506357875332526,0,0,0,,,,,,,,,,,,0,18.482268579363712,0.11123691495645457,22.488810744625052,0.26222215472469257,21.553708331959733,-0.4085163634202355,24.53190571129934,0.09925864157817647,16.940991449589305,0.09014125286505394,31.386389803521297,0.29380779790548534,32.53624166068082,0.224609255685899,30.692167219664526,-0.07888837543090804,32.096120918431644,0.19859295488019307
3772,0.35000000000000003,empty_shadow,DREAM,0,0,3771,0.30000000000000004,1,1,190.67577387920224,-201.7412683944765,,,,,,,0,0,32.73327466765656,1.2460827872966718,0.48952725529670715,0.0,-0.0003918333968613297,-0.0004787147918250412,31.598787274543835,0.006649661803315518,0,0,3.2382864563762235,12.717029954805497,3.238328838757995,occluder,,,,,0.35000000000000003,3765,ok,accepted,0,ok,0.5211786,0.0007844000065233558,0.4832324000017252,0.036415399983525276,1,0.0011697000000019386,0.009612300000000573,0,200.38336340725712,-16.387801072091747,,3.508731605523508,0,0,0,,,,,,,,,,,,0,18.4872696664654,0.10002174037522471,22.496131140961605,0.14640792789807014,21.525096172063368,-0.5722431874661994,24.526700568400898,-0.10410285542019902,16.947012947281245,0.12042995389466848,31.39506127709308,0.1734433344540992,32.53482639885665,-0.02830523537611801,30.679595861362923,-0.2514271562830651,32.093706202042334,-0.0482943250978062
3773,0.4,empty_shadow,DREAM,0,0,3772,0.35000000000000003,1,1,192.31349882797002,-201.73840562307714,,,,,,,0,0,32.76677838093489,0.6700742655665692,0.41103535890579224,0.0,-0.0003918333968613297,-0.0004787147918250412,31.598787274543835,0.006636070725400024,0,0,2.5852108757618337,12.628710933033942,2.5860768122730704,occluder,,,,,0.4,3765,ok,accepted,1,ok,0.3325659,0.0008011999889276922,0.32261480001034215,0.008740899997064844,0,0.0011697000000019386,0.011259200000001357,0,201.30786296408314,-15.674575680149985,,3.511594376922858,0,0,0,,,,,,,,,,,,0,18.49169092026982,0.08842507512101855,22.498645019749933,0.05027757670977805,21.488892764586765,-0.7240681384939194,24.512784565022606,-0.2783200643690573,16.954453511272973,0.14881127992405388,31.397725107966725,0.05327827697367667,32.52217303531566,-0.2530672683208814,30.65927303766186,-0.4064564629886148,32.08035093076322,-0.267105420982463
3774,0.45,empty_shadow,DREAM,0,0,3773,0.4,1,1,193.95213914266125,-201.73506951692104,,,,,,,0,0,32.77703117766043,0.2050559345109093,0.3530805706977844,0.0,0.00033673137659206986,0.00041139498353004456,31.29878649934696,0.0066319199133745834,0,0,1.9738991965070392,12.565157576856338,1.9762911281256146,occluder,,,,,0.45,3765,ok,accepted,0,ok,0.3325659,0.0008011999889276922,0.32261480001034215,0.008740899997064844,1,0.0013311999999991997,0.011045800000001549,0,202.23254562636725,-14.960618027742868,,3.514930483078956,0,0,0,,,,,,,,,,,,0,18.495522803939316,0.07663767314092203,22.49784392706139,-0.016021852939180625,21.445588297610122,-0.8660893277466961,24.491263963416102,-0.43041202822420616,16.96322349776996,0.17539973001608694,31.394261224282655,-0.06927738323708171,32.49942216517556,-0.45501739860662127,30.63295732539679,-0.5263142342259404,32.05716899646023,-0.46363867919428997
3775,0.5,empty_shadow,DREAM,0,0,3774,0.45,1,1,195.5906572465016,-201.73132146512734,,,,,,,0,0,32.76911672207097,-0.15828911178928706,0.308418869972229,0.0,0.00033673137659206986,0.00041139498353004456,31.29878649934696,0.006635123712503798,0,0,1.4596098870697358,12.521678649004505,1.4646485088947894,occluder,,,,,0.5,3765,ok,accepted,0,ok,0.3325659,0.0008011999889276922,0.32261480001034215,0.008740899997064844,0,0.0013311999999991997,0.007894600000000196,0,203.15744193771275,-14.24699623524802,,3.518678534872663,0,0,0,,,,,,,,,,,,0,18.498748152054954,0.06450696275904483,22.495265185948732,-0.05157482153591522,21.395634813029762,-0.9990696793576622,24.462970367641077,-0.5658719108176204,16.973223724606704,0.20000453680708255,31.384570759926756,-0.1938011072934646,32.467470242840704,-0.639038440636213,30.602788769820652,-0.6033711010164006,32.025033964460704,-0.6427006303120757
