frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
3670,0.05,true_threat,IDEAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],194.84225595333106,-205.254861892155,18.449162660530316,0.16277330861658604,lead_centre,113.70508568702861,18.437510467315995,18.217114,0.958619
3670,0.05,true_threat,IDEAM,lead_left,123,vehicle.tesla.model3,leader,-4,left,0,[0],318.9677155562708,-201.75023721038016,22.385457279148753,0.32489760743814533,,,22.38291159630427,23.564469,1.190587
3670,0.05,true_threat,IDEAM,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],315.7185126125531,-205.25018618034107,21.550738681341944,0.8540723436257368,,,21.493270162436723,20.669735,1.179302
3670,0.05,true_threat,IDEAM,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],319.7177535897412,-208.74982916153704,24.364482411419274,1.74743672304224,,,24.268089884216106,23.668294,0.989086
3670,0.05,true_threat,IDEAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],167.11492723422043,-205.24997754115023,16.93737703634912,-0.13359074721519457,occluder,21.02210087162554,16.947157359783326,20.0,1.107499
3670,0.05,true_threat,IDEAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],141.35498684190682,-201.78996931888003,31.237887838121594,1.261501317501774,ego,34.685727313705186,31.13399529633744,32.0,1.084063
3670,0.05,true_threat,IDEAM,follower_2,128,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],107.64966424375673,-201.7500149258395,32.314443709734476,2.1241762811186287,follower_1,28.63862913705011,32.04544931217034,32.0,0.932464
3670,0.05,true_threat,IDEAM,follower_3,129,vehicle.tesla.model3,follower,-4,left,0,[0],69.62657551505862,-201.75010771818657,30.65486909399536,0.18516532597698335,follower_2,32.76307729886838,30.636357760034226,30.752968,0.906909
3670,0.05,true_threat,IDEAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],36.62050058559376,-201.7500759186777,31.884513947970195,2.0540239353437513,follower_3,27.8870394487858,31.635824062943076,31.897678,0.858423
3671,0.1,true_threat,IDEAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],195.76492446078151,-205.25485230846567,18.45681304622994,0.15300771012006634,lead_centre,113.85932154912993,18.445530796095117,18.217114,0.958619
3671,0.1,true_threat,IDEAM,lead_left,123,vehicle.tesla.model3,leader,-4,left,0,[0],320.087680220846,-201.7502366149539,22.40831875212713,0.4572294610629784,,,22.398984377781108,23.564469,1.190587
3671,0.1,true_threat,IDEAM,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],316.79654613242985,-205.25021514811155,21.5759232991448,0.5036923591892775,,,21.535173837055993,20.669735,1.179302
3671,0.1,true_threat,IDEAM,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],320.9379379750473,-208.74979437711684,24.431027907498482,1.3309099220360676,,,24.354110150210293,23.668294,0.989086
3671,0.1,true_threat,IDEAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],167.96166801171398,-205.2499938594758,16.933716832352204,-0.0732040799448648,occluder,21.09741825005544,16.941121386389018,20.0,1.107499
3671,0.1,true_threat,IDEAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],142.91827944798578,-201.78720823330835,31.285887988350012,0.9602519991195888,ego,34.7517681037063,31.196367943103244,32.0,1.084063
3671,0.1,true_threat,IDEAM,follower_2,128,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],109.26790470904945,-201.7500579714749,32.39673818294106,1.6458894652408271,follower_1,28.58558878772528,32.14609918540745,32.0,0.932464
3671,0.1,true_threat,IDEAM,follower_3,129,vehicle.tesla.model3,follower,-4,left,0,[0],71.15971771870147,-201.75017979427557,30.667901999771065,0.260658115707492,follower_2,32.844284569533684,30.647040698805384,30.752968,0.906909
3671,0.1,true_threat,IDEAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],38.21716511920218,-201.75011106594474,31.9638310466258,1.586341973266682,follower_3,27.82727077030043,31.72932660600348,31.897678,0.858423
3672,0.15000000000000002,true_threat,IDEAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],196.6879896915191,-205.25482733064806,18.463963708014912,0.14301323213136555,lead_centre,114.01468656155622,18.453066356444427,18.217114,0.958619
3672,0.15000000000000002,true_threat,IDEAM,lead_left,123,vehicle.tesla.model3,leader,-4,left,0,[0],321.20886559368046,-201.75025086188472,22.433402287071473,0.5016707002240689,,,22.421603020059543,23.564469,1.190587
3672,0.15000000000000002,true_threat,IDEAM,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],317.8754341444444,-205.25024382438025,21.58671887582738,0.21591153848302055,,,21.559884451149493,20.669735,1.179302
3672,0.15000000000000002,true_threat,IDEAM,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],322.16096050015926,-208.74977388328247,24.478780297929035,0.9550478093671447,,,24.419616440815826,23.668294,0.989086
3672,0.15000000000000002,true_threat,IDEAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],168.80834774884949,-205.24999493983475,16.932597215577935,-0.022392335483550088,occluder,21.173345980012332,16.937984764207357,20.0,1.107499
3672,0.15000000000000002,true_threat,IDEAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],144.48364709309482,-201.78398867615854,31.322633069208646,0.7350832655557448,ego,34.81759533834304,31.2437542578406,32.0,1.084063
3672,0.15000000000000002,true_threat,IDEAM,follower_2,128,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],110.88956313768786,-201.750084592315,32.45747579795318,1.2147523005209788,follower_1,28.53064092851153,32.223789793174625,32.0,0.932464
3672,0.15000000000000002,true_threat,IDEAM,follower_3,129,vehicle.tesla.model3,follower,-4,left,0,[0],72.69353130381866,-201.75023638253924,30.68146132981002,0.2711866019998274,follower_2,32.929382831183545,30.66097647541708,30.752968,0.906909
3672,0.15000000000000002,true_threat,IDEAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],39.81707977469176,-201.75014510446397,32.022173028500895,1.1668396372525822,follower_3,27.763748440334865,31.801560788934786,31.897678,0.858423
3673,0.2,true_threat,IDEAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],197.61139061559655,-205.25480223831187,18.470601295267713,0.13275174170934495,lead_centre,114.17050934283313,18.4601068156248,18.217114,0.958619
3673,0.2,true_threat,IDEAM,lead_left,123,vehicle.tesla.model3,leader,-4,left,0,[0],322.3312716643636,-201.75024943359625,22.456788281361717,0.46771988715682994,,,22.446419265477733,23.564469,1.190587
3673,0.2,true_threat,IDEAM,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],318.9544747391352,-205.2502571898069,21.585542022793085,-0.023537054206853814,,,21.570476333646393,20.669735,1.179302
3673,0.2,true_threat,IDEAM,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],323.38578355707034,-208.74973751642406,24.50996164349446,0.6236269123859083,,,24.46661785574772,23.668294,0.989086
3673,0.2,true_threat,IDEAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],169.65502748598493,-205.24999602019372,16.93361955174177,0.020446723290370988,occluder,21.249731473614457,16.937287177345702,20.0,1.107499
3673,0.2,true_threat,IDEAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],146.0505405025028,-201.78043290513,31.350712044762723,0.5617021327231004,ego,34.88287330865937,31.279744095296174,32.0,1.084063
3673,0.2,true_threat,IDEAM,follower_2,128,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],112.51360193728152,-201.75011040111443,32.49941839593219,0.8388519594270935,follower_1,28.474350144982168,32.28098182603454,32.0,0.932464
3673,0.2,true_threat,IDEAM,follower_3,129,vehicle.tesla.model3,follower,-4,left,0,[0],74.22789421051549,-201.75030804219713,30.691900233177353,0.20877807034345786,follower_2,33.01722767470477,30.675088893775637,30.752968,0.906909
